ΞΟΦΛΗΜΕΝ,ξοφλημένους
ΠΑΛΙΟΧΑΡΤ,παλιόχαρτο
ΠΑΛΑΝΤΖ,παλάντζας
ΠΑΛΑΙΟΝΤΟΛΟΓΙΚ,παλαιοντολογικός
ΠΑΛΑΙΟΚΟΜΜΑΤΙΚ,παλαιοκομματικός
ΠΑΛΑΙΟΗΜΕΡΟΛΟΓΙΤΙΚ,παλαιοημερολογίτικος
ΠΑΛΑΙΟΗΜΕΡΟΛΟΓΙΤ,παλαιοημερολογίτης
ΠΑΛΑΒΡ,παλάβρας
ΠΑΛΑΒΙΑΡ,παλαβιάρης
ΠΑΙΔΙΚ,παιδικός
ΠΑΙΔΑΡΙΩΔ,παιδαριώδης
ΠΑΘΗΤΙΚ,παθητικός
ΠΑΖΑΡ,παζάρι
ΠΑΓΩΝ,παγώνω
ΠΑΓΕΡ,παγερός
ΟΧ,οχού
ΟΧΛ,όχλος
ΟΧΕΤ,οχετός
ΟΦΙΚΙ,οφίκιο
ΟΥΧ,ουχί
ΟΥΡΑΚΟΤΑΓΚ,ουρακοτάγκος
ΟΥΡΑΓ,ουραγός
ΟΥΝΝ,ούννος
ΟΣΦΥΟΚΑΜΠΤ,οσφυοκάμπτης
ΟΡΦΑΝ,ορφανός
ΟΡΝΙ,όρνιο
ΟΡΔ,ορδή
ΟΠΟΡΤΟΥΝΙΣΤ,οπορτουνιστή
ΟΠΕΡΕΤ,οπερέτα
ΟΠΑΔ,οπαδός
ΟΜΟΡΦΟΝΙ,ομορφονιός
ΟΜΟΙΟΠΑΘ,ομοιοπαθής
ΟΛΟΝΥΧΤΙ,ολονυχτία
ΟΛΟΝΥΚΤΙ,ολονυκτία
ΟΙΚΤ,οίκτος
ΟΙΚΤΙΡ,οικτίρω
ΟΙΚΟΠΕΔΟΦΑΓ,οικοπεδοφάγος
ΟΙΚΟΝΟΜΙΣΤΙΚ,οικονομίστικος
ΟΘΩΜΑΝΙΚ,οθωμανικός
ΞΥΛΟΠΟΔΑΡ,ξυλοπόδαρος
ΞΥΛΙΑΖ,ξυλιάζω
ΞΟΑΝ,ξόανο
ΞΕΦΤΙΛΙΣΤΗΚ,ξεφτιλίστηκε
ΞΕΦΤΙΛΙΣΜΕΝ,ξεφτιλισμένος
ΞΕΦΤΙΛΙΣΜ,ξεφτίλισμα
ΞΕΦΤΙΛΙΚΙ,ξεφτιλίκια
ΞΕΦΤΙΛΙΖ,ξεφτιλίζω
ΞΕΦΤΙΛΙΖΕΣΤ,ξεφτιλίζεστε
ΞΕΦΤΙΛ,ξεφτίλα
ΞΕΡ,ξερός
ΞΕΡΟΛ,ξερόλα
ΞΕΡΟΚΟΜΜΑΤ,ξεροκόμματο
ΞΕΡΝ,ξερνώ
ΞΕΠΛΕΝ,ξεπλένω
ΞΕΠΑΤΙΚΩΤΟΥΡ,ξεπατικωτούρα
ΞΕΠΑΤΙΚΩΝ,ξεπατικώνω
ΞΕΠΑΤΙΚΟΤΟΥΡ,ξεπατικοτούρα
ΞΕΝΟΦΟΒ,ξενόφοβος
ΞΕΝΟΚΙΝΗΤ,ξενοκίνητος
ΞΕΚΡΕΜΑΣΤ,ξεκρέμαστος
ΞΕΔΙΑΝΤΡΟΠ,ξεδιάντροπα
ΞΕΒΡΑΚΩΝ,ξεβρακώνει
ΞΑΝΑΜΜ,ξάναμμα
ΝΥΦΟΠΑΖΑΡ,νυφοπάζαρο
ΝΥΣΤΑΛΕ,νυσταλέος
ΝΥΣΤΑΖ,νυστάζω
ΝΥΜΦΟΠΑΖΑΡ,νυμφοπάζαρο
ΝΥΜΦΙ,νυμφίος
ΝΥΜΦΙΔΙ,νυμφίδιο
ΝΥΚΤΩΔΙ,νυκτωδία
ΝΤΡΟΠ,ντροπή
ΝΤΡΟΠΑΛ,ντροπαλός
ΝΤΡΕΠΟΜ,ντρέπομαι
ΝΤΟΥΛΑΠ,ντουλάπα
ΝΤΟΡ,ντορής
ΝΤΙΛΕΤΑΝΤ,ντιλετάντης
ΝΤΕΡΛΙΚΩΝ,ντερλικώνω
ΝΤΕΝΕΚ,ντενεκές
ΝΤΕΛΙΡΙ,ντελίριο
ΝΤΑΝΤΕΥ,νταντεύω
ΝΤΑΛΚΑΔΙΑΖ,νταλκαδιάζω
ΝΟΥΛ,νούλα
ΝΟΣΤ,νόστος
ΝΙΑΟΥΡΙΣΜ,νιαούρισμα
ΝΙΑΝΙΑΡ,νιάνιαρο
ΝΕΥΡΙΚ,νευρικός
ΝΕΡΟΧΥΤ,νεροχύτης
ΝΕΡΟΠΛΥΜ,νερόπλυμα
ΝΕΡΟΚΟΥΒΑΛΗΤ,νεροκουβαλητής
ΝΕΟΝΑΖ,νεοναζί
ΝΕΚΡΩΣ,νέκρωση
ΝΕΚΡΟΚΕΦΑΛ,νεκροκεφαλή
ΝΑΥΤΟΠΟΥΛ,ναυτόπουλο
ΝΑΥΤΙ,ναυτία
ΝΑΡΚΩΣ,νάρκωση
ΝΑΡΚΙΣΣ,νάρκισσος
ΝΑΖΙΣΤΙΚ,ναζιστικό
ΜΩΡΟΤΕΡ,μωρότερος
ΜΩΡ,μωρέ
ΜΥΣΤΙΚΟΣΥΜΒΟΥΛ,μυστικοσύμβουλος
ΜΥΞΟΚΛΑΙ,μυξοκλαίω
ΜΥΘΟΜΑΝ,μυθομανή
ΜΠΡΑΒ,μπράβος
ΜΠΟΥΧΤΙΖ,μπουχτίζω
ΜΠΟΥΦ,μπούφοι
ΜΠΟΥΤΣ,μπούτσο
ΜΠΟΥΡΤΖΟΒΛΑΧ,μπουρτζόβλαχος
ΜΠΟΥΡΖΟΥ,μπουρζουάς
ΜΠΟΥΡΖΟΥΑΖΙ,μπουρζουαζία
ΜΠΟΥΡΔΕΛ,μπουρδέλο
ΜΠΟΥΡΔΕΛΙΑΡ,μπουρδελιάρης
ΜΠΟΥΡΔ,μπούρδα
ΜΠΟΥΝΤΡΟΥΜ,μπουντρούμι
ΜΠΟΥΛΙΝΓΚ,μπούλινγκ
ΜΠΟΥΛ,μπούλης
ΜΠΟΜΠ,μπόμπες
ΜΠΛΟΚΑΡ,μπλοκάρω
ΜΠΛΑΖ,μπλαζέ
ΜΠΕΚΡΟΥΛΙΑΚ,μπεκρούλιακας
ΜΠΕΚΡΟΥΛΙΑΖ,μπεκρουλιάζω
ΜΠΕΚΡΟΚΑΝΑΤ,μπεκροκανάτα
ΜΠΕΚΡ,μπεκρής
ΜΠΑΦΙΑΣΜΕΝ,μπαφιασμένος
ΜΠΑΤΣ,μπάτσος
ΜΠΑΤΣΙΝ,μπατσίνα
ΜΠΑΤΣΙΚ,μπατσικό
ΜΠΑΤΣΑΡΙ,μπατσαρία
ΜΠΑΣΤΟΥΝΟΒΛΑΧ,μπαστουνόβλαχος
ΜΠΑΣΤΑΡΔ,μπάσταρδος
ΜΠΑΣΤΑΡΔΙΚ,μπαστάρδικος
ΜΠΑΣΚΛΑΣΑΡΙ,μπασκλασαρία
ΜΠΑΣΚΛ,μπασκλάς
ΜΠΑΣΚΙΝ,μπασκίνας
ΜΠΑΝΑΝΙ,μπανανία
ΜΠΑΜΠΟΓΡΙ,μπαμπόγρια
ΜΠΑΜΠΟΓΕΡ,μπαμπόγερος
ΜΠΑΜΠΑΛ,μπαμπαλής
ΜΠΑΜΙ,μπάμιας
ΜΠΑΛΑΝΤΖ,μπαλάντζας
ΜΠΑΛΑΝΤΕΡ,μπαλαντέρ
ΜΠΑΚΑΤΕΛ,μπακατέλα
ΜΠΑΚΑΛΟΧΑΡΤ,μπακαλόχαρτο
ΜΠΑΚΑΛΟΤΕΦΤΕΡ,μπακαλοτέφτερο
ΜΠΑΙΝΑΚ,μπαινάκης
ΜΠΑΖ,μπάζο
ΜΠΑΓΚΑΤΕΛ,μπαγκατέλα
ΜΠΑΓΑΣΙΚ,μπαγάσικος
ΜΠΑΓΑΣ,μπαγάσας
ΜΠΑΓΑΣΑΚ,μπαγασάκος
ΜΟΦΡΟΝΙ,μοφρονιός
ΜΟΥΤΡΩΜΕΝ,μουτρωμένος
ΜΟΥΤΡ,μούτρα
ΜΟΥΤΖΩΝ,μούτζωνε
ΜΟΥΤΖΟΥΡ,μουτζούρη
ΜΟΥΣΤΟΓΡΙ,μουστόγρια
ΜΟΥΣΜΟΥΛ,μούσμουλο
ΜΟΥΣΙΚΑΝΤ,μουσικάντης
ΜΟΥΡ,μούρη
ΜΟΥΡΓ,μούργος
ΜΟΥΝΟΨΕΙΡ,μουνόψειρα
ΜΟΥΝΟΠΑΝ,μουνόπανο
ΜΟΥΝΙ,μουνιά
ΜΟΥΝ,μουνί
ΜΟΥΝΑΡ,μουνάρα
ΜΟΥΛ,μούλος
ΜΟΥΛΙΚ,μούλικος
ΜΟΥΛΑΡ,μουλάρα
ΜΟΥΔΙΑΖ,μουδιάζω
ΜΟΥΓΓ,μουγγός
ΜΟΡΦΑΣΜ,μορφασμός
ΜΟΡΜΟΛΥΚΕΙ,μορμολύκειο
ΜΟΝ,μόνος
ΜΟΝΙΜ,μονιμάς
ΜΟΝΑΡΧΟΦΑΣΙΣΤ,μοναρχοφασίστας
ΜΟΝΑΞΙ,μοναξιά
ΜΟΝΑΖ,μονάζω
ΜΟΜΟΛ,μόμολο
ΜΝΗΣΙΚΑΚ,μνησικακώ
ΜΝΗΣΙΚΑΚΙ,μνησικακία
ΜΙΣ,μίσος
ΜΙΣΘΟΦΟΡ,μισθοφόρος
ΜΙΣΑΝΘΡΩΠ,μισάνθρωπος
ΜΙΚΡΟΤΗΤ,μικρότητα
ΜΙΚΡΟΠΡΕΠ,μικροπρεπής
ΜΙΚΡΟΜΕΓΑΛ,μικρομέγαλος
ΜΙΚΡΟΑΣΤ,μικροαστός
ΜΙΖ,μίζες
ΜΕΤΑΜΕΛΟΥΜ,μεταμελούμαι
ΜΕΛΟΔΡΑΜΑΤΙΣΜ,μελοδραματισμός
ΜΕΛ,μελό
ΜΕΛΑΓΧΟΛΙΚ,μελαγχολικός
ΜΕΛΑΓΧΟΛΙ,μελαγχολία
ΜΕΙΟΝΕΚΤΙΚΟΤΗΤ,μειονεκτικότητα
ΜΕΙ,μείον
ΜΕΘΥΣΤΑΚ,μεθύστακας
ΜΕΘΟΚΟΠ,μεθοκοπώ
ΜΕΔΟΥΛ,μεδούλι
ΜΕΓΑΛΟΨΕΥΤ,μεγαλοψεύτης
ΜΕΓΑΛΟΥΣΙΑΝ,μεγαλουσιάνος
ΜΕΓΑΛΟΣΧΗΜ,μεγαλόσχημος
ΜΑΦΙΟΖ,μαφιόζος
ΜΑΦΙΟΖΙΚ,μαφιόζικος
ΜΑΦΙ,μαφία
ΜΑΥΡΟΦΟΡΟΥΣ,μαυροφορούσα
ΜΑΥΡΟΤΣΟΥΚΑΛ,μαυροτσούκαλο
ΜΑΤΑΚΙ,ματάκιας
ΜΑΣΤΡΟΧΑΛΑΣΤ,μαστροχαλαστής
ΜΑΣΤΑΡ,μαστάρι
ΜΑΣΟΝ,μασόνος
ΜΑΣΟΝΙ,μασονία
ΜΑΡΤΥΡΙΚ,μαρτυρικές
ΜΑΡΜΑΡΩΝ,μαρμαρώνω
ΜΑΠ,μάπας
ΜΑΟΥΝ,μαούνα
ΜΑΝΤΡΟΣΚΥΛ,μαντρόσκυλο
ΜΑΝΤΡΑΧΑΛ,μαντραχαλάς
ΜΑΝΤΙΣΣ,μάντισσα
ΜΑΝΤ,μάντης
ΜΑΝΤΑΡ,μαντάρα
ΜΑΝΙΚ,μανίκι
ΜΑΝΙ,μανία
ΜΑΝΔΑΡΙΝ,μανδαρίνος
ΜΑΜΟΥΝΙΑΡ,μαμουνιάρης
ΜΑΜΟΘΡΕΦΤ,μαμόθρεφτος
ΜΑΜΜΩΝ,μαμμωνάς
ΜΑΛΛΙ,μαλλιάς
ΜΑΛΛΙΑΡ,μαλλιαρός
ΜΑΛΛΙΑΡΙΣΜ,μαλλιαρισμός
ΜΑΛΑΚΙΣΤΗΡ,μαλακιστήρι
ΜΑΛΑΚΙΣΜΕΝ,μαλακισμένος
ΜΑΛΑΚΙ,μαλακία
ΜΑΛΑΚ,μαλάκας
ΜΑΚΕΛΕΙ,μακελειό
ΜΑΚΑΡΟΝ,μακαρονάς
ΜΑΚΑΡΙΤΙΚ,μακαρίτικος
ΜΑΚΑΡΙ,μακάριος
ΜΑΪΝΤΑΝ,μαϊντανός
ΜΑΙΝΤΑΝ,μαιντανός
ΜΑΪΜΟΥΔΙΑΡ,μαϊμουδιάρης
ΜΑΪΜΟΥΔ,μαϊμούδες
ΜΑΪΔΑΝ,μαϊδανός
ΜΑΘΗΤΟΥΔ,μαθητούδι
ΜΑΘΗΤΟΠΑΤΕΡ,μαθητοπατέρας
ΜΑΘΗΜΑΤΑΚ,μαθηματάκι
ΜΑΓΚΟΥΦ,μαγκούφης
ΜΑΓΚ,μάγκας
ΜΑΓΑΡ,μαγάρα
ΛΩΠΟΔΥΤ,λωποδύτης
ΛΥΠΗΤΕΡ,λυπητερός
ΛΥΠΗΣ,λύπηση
ΛΥΠ,λύπη
ΛΟΥΜΠ,λούμπα
ΛΟΡΔ,λόρδα
ΛΟΓΥΔΡΙ,λογύδριο
ΛΟΓ,λόγος
ΛΟΓΑΚ,λογάκι
ΛΙΝΤΣΑΡΙΣΜ,λιντσάρισμα
ΛΙΜΑΡΙΚ,λιμάρικος
ΛΙΜΑΡ,λιμάρης
ΛΙΘΟΒΟΛΙΣΜ,λιθοβολισμό
ΛΙΓΟΥΡ,λιγούρα
ΛΗΣΤΑΡΧ,λήσταρχους
ΛΗΣΜΟΝ,λησμονώ
ΛΗΣΜΟΝΙΕΜ,λησμονιέμαι
ΛΗΣΜΟΝΙ,λησμονιά
ΛΑΣΠ,λάσπη
ΛΑΠ,λαπάς
ΛΑΟΥΤΖΙΚ,λαουτζίκος
ΛΑΜΟΓΙ,λαμόγια
ΛΑΙΛΑΠ,λαίλαπα
ΛΑΪΚΙΣΤ,λαϊκιστής
ΛΑΙΚΙΣΤ,λαικιστές
ΛΑΙΚΙΣΜ,λαικισμοί
ΛΑΒΡ,λάβρα
ΚΩΛΥΣΙΕΡΓΙ,κωλυσιεργίας
ΚΩΛΟΧΑΡΤ,κωλόχαρτο
ΚΩΛΟΧΑΝΕΙ,κωλοχανείο
ΚΩΛΟΤΡΥΠΙΔ,κωλοτρυπίδα
ΚΩΛΟΤΟΥΜΠ,κωλοτούμπα
ΚΩΛ,κώλος
ΚΩΛΟΠΑΙΔ,κωλόπαιδο
ΚΩΛΟΜΕΡ,κωλομέρι
ΚΩΛΟΔΑΧΤΥΛ,κωλοδάχτυλο
ΚΩΛΟΓΛΕΙΦ,κωλογλείφω
ΚΩΛΟΓΛΕΙΦΤ,κωλογλείφτης
ΚΩΛΟΒΑΡΑ,κωλοβαράω
ΚΥΡΙΕΥ,κυριεύω
ΚΥΡΙΑΡΧ,κυριαρχώ
ΚΥΡΙΑΡΧΙ,κυριαρχία
ΚΥΡΑΤΣ,κυράτσα
ΚΥΝΙΚ,κυνικός
ΚΥΚΛΩΜ,κύκλωμα
ΚΤΗΝ,κτήνος
ΚΡΥΦ,κρυφός
ΚΡΥ,κρύο
ΚΡΥΑΔ,κρυάδα
ΚΡΙΣ,κρίση
ΚΡΕΤΙΝ,κρετίνοι
ΚΡΕΒΑΤΟΜΟΥΡΜΟΥΡ,κρεβατομουρμούρα
ΚΟΨΙΜ,κόψιμο
ΚΟΥΤΣΟΥΡ,κούτσουρο
ΚΟΥΤΣΑΜΑΡ,κουτσαμάρα
ΚΟΥΤΑΜΑΡ,κουταμάρα
ΚΟΥΣΤΩΔΙ,κουστωδία
ΚΟΥΡΑΣ,κούραση
ΚΟΥΡΑΜΠΙ,κουραμπιές
ΚΟΥΡΑΔ,κουράδα
ΚΟΥΝΙΣΤ,κουνιστός
ΚΟΥΜΜΟΥΝ,κουμμούνι
ΚΟΥΜΑΣ,κουμάσι
ΚΟΥΛΤΟΥΡΙΑΡ,κουλτουριάρης
ΚΟΥΛΟΧΕΡ,κουλοχέρης
ΚΟΥΛ,κουλός
ΚΟΥΚΟΥΛΩΜ,κουκούλωμα
ΚΟΥΚΟΥΛΩΘ,κουκουλωθεί
ΚΟΣΜΑΚ,κοσμάκης
ΚΟΡΕΣΜ,κορεσμός
ΚΟΡΑΚΙ,κοράκια
ΚΟΡΑΚ,κοράκι
ΚΟΠΡΟΣΚΥΛ,κοπρόσκυλο
ΚΟΠΡΟΛΟΓ,κοπρολόγος
ΚΟΠΑΔ,κοπάδι
ΚΟΝΤΟΒΡΑΚ,κοντοβράκι
ΚΟΝΔΥΛΟΦΟΡ,κονδυλοφόρος
ΚΟΜΠΟΓΙΑΝΝΙΤ,κομπογιαννίτης
ΚΟΜΠΛΕΞΙΚ,κομπλεξική
ΚΟΜΠΛΕΞ,κόμπλεξ
ΚΟΜΠΙΝ,κομπίνες
ΚΟΜΜΟΥΝΙΣΤΟΣΥΜΜΟΡΙΤ,κομμουνιστοσυμμορίτης
ΚΟΜΜΟΥΝ,κομμούνα
ΚΟΜΜΑΤΟΣΚΥΛ,κομματόσκυλο
ΚΟΜΜΑΡ,κομμάρα
ΚΟΛΟΥΜΠΡ,κολούμπρα
ΚΟΛΟΜΠΑΡ,κολομπαράς
ΚΟΛΟΚΥΘΙ,κολοκύθια
ΚΟΛΛ,κολλώ
ΚΟΛΕΓΙ,κολέγιο
ΚΟΚΟΡΟΜΑΧΙ,κοκορομαχία
ΚΟΚΙΤ,κοκίτης
ΚΟΚΑΛΙΑΡ,κοκαλιάρης
ΚΟΙΝ,κοινός
ΚΟΙΛΑΡ,κοιλαράς
ΚΝΩΔΑΛ,κνώδαλο
ΚΛΩΤΣΟΠΑΤΙΝΑΔ,κλωτσοπατινάδα
ΚΛΩΤΣΙ,κλωτσιές
ΚΛΟΤΣΟΠΑΤΙΝΑΔ,κλοτσοπατινάδα
ΚΛΟ,κλόουν
ΚΛΙΣ,κλισέ
ΚΛΙΝΙΚ,κλινικά
ΚΛΙΚ,κλίκα
ΚΛΕΦΤΡ,κλεφτρού
ΚΛΕΦΤΡΑΚ,κλεφτράκος
ΚΛΕΦΤ,κλέφτης
ΚΛΕΦΤΑΡ,κλεφταράς
ΚΛΕΦΤΑΚ,κλεφτάκος
ΚΛΕΙΣΤ,κλειστός
ΚΛΑΣΙΜ,κλάσιμο
ΚΛΑΠΑΤΣ,κλαπάτσα
ΚΛΑΝΙΑΡ,κλανιάρης
ΚΙΤΡΙΝΙΑΡ,κιτρινιάρης
ΚΙΝΑΙΔ,κίναιδος
ΚΙΜΩΛΙ,κιμωλία
ΚΗΦΗΝ,κηφήνας
ΚΗΔΕΜΟΝΙ,κηδεμονία
ΚΗΔΕΜΟΝΕΥ,κηδεμονεύω
ΚΕΡΑΤ,κερατάς
ΚΕΡΑΜΙΔ,κεραμίδα
ΚΕΝ,κενό
ΚΕΚΡΑΚΤ,κεκράκτης
ΚΕΚ,κεκές
ΚΑΨΙΜ,κάψιμο
ΚΑΦΡ,κάφρους
ΚΑΦΕΝΟΒΙ,καφενόβιος
ΚΑΥΣ,καύσος
ΚΑΥΛΩΤΙΚ,καυλωτικός
ΚΑΥΛΙΤΣΕΚ,καυλιτσέκι
ΚΑΥΛΙΤΖΕΚ,καυλιτζέκι
ΚΑΥΛΙΑΡ,καυλιάρης
ΚΑΤΩΦΛ,κατώφλι
ΚΑΤΩΤΕΡΟΤΗΤ,κατωτερότητα
ΚΑΤΩΤΕΡ,κατώτερος
ΚΑΤΣΙΚΟΚΛΕΦΤ,κατσικοκλέφτης
ΚΑΤΣΑΠΛΙ,κατσαπλιάς
ΚΑΤΣΑΠΛΙΑΔ,κατσαπλιάδες
ΚΑΤΡΟΥΛΙΑΡ,κατρουλιάρης
ΚΑΤΟΥΡΛΙΑΡ,κατουρλιάρης
ΚΑΤΟΥΡΑ,κατουράει
ΚΑΤΟΥΡ,κατούρα
ΚΑΤΙΝ,κατίνα
ΚΑΤΕΡΓΑΡ,κατεργάρης
ΚΑΤΑΣΤΙΧ,κατάστιχο
ΚΑΤΑΣΚΟΠ,κατάσκοπος
ΚΑΤΑΣΚΕΥΑΣΜ,κατασκεύασμα
ΚΑΤΑΣΒΗΝ,κατασβήνω
ΚΑΤΑΡΡΕΥΣ,κατάρρευση
ΚΑΤΑΡ,κατάρα
ΚΑΤΑΠΝΙΞ,κατάπνιξη
ΚΑΤΑΚΤΗΣ,κατάκτηση
ΚΑΤΑΚΡΕΟΥΡΓ,κατακρεουργώ
ΚΑΤΑΚΑΡΔ,κατάκαρδα
ΚΑΤΑΔΙΚ,καταδικός
ΚΑΤΑΓΓΕΛΙ,καταγγελίες
ΚΑΤΑΒΟΘΡ,καταβόθρα
ΚΑΣΤ,κάστα
ΚΑΡΦΩΜ,κάρφωμα
ΚΑΡΠΟΥΖΟΚΕΦΑΛ,καρπουζοκέφαλος
ΚΑΡΠΑΖΟΕΙΣΠΡΑΧΤΟΡ,καρπαζοεισπράχτορας
ΚΑΡΠΑΖΟΕΙΣΠΡΑΚΤΟΡ,καρπαζοεισπράκτορας
ΚΑΡΟΔΡΟΜ,καρόδρομος
ΚΑΡ,κάρο
ΚΑΡΚΙΝΟΦΟΒΙ,καρκινοφοβία
ΚΑΡΚΙΝΙΑΡ,καρκινιάρης
ΚΑΡΚΑΛΕΤΣ,καρκαλέτσος
ΚΑΡΙΟΛ,καριόλης
ΚΑΡΙΕΡΙΣΤ,καριερίστας
ΚΑΡΕΚΛΟΚΕΝΤΑΥΡ,καρεκλοκένταυρος
ΚΑΡΕΚΛ,καρέκλα
ΚΑΡΓΙ,κάργια
ΚΑΡΓ,κάργα
ΚΑΡΒΟΥΝΙΑΡ,καρβουνιάρης
ΚΑΡΑΦΛ,καράφλα
ΚΑΡΑΠΟΥΤΑΝ,καραπουτάνα
ΚΑΡΑΜΠΟΓΙ,καραμπογιά
ΚΑΡΑΚΑΞ,καρακάξα
ΚΑΡΑΚΑΗΔΟΝ,καρακαηδόνα
ΚΑΡΑΓΚΙΟΖΛΙΔΙΚ,καραγκιοζλίδικος
ΚΑΡΑΓΚΙΟΖΙΛΙΚΙ,καραγκιοζιλίκια
ΚΑΡΑΓΚΙΟΖΙΛΙΔΙΚ,καραγκιοζιλίδικος
ΚΑΡΑΓΚΙΟΖΙΚ,καραγκιόζικος
ΚΑΡΑΓΚΙΟΖ,καραγκιόζης
ΚΑΡΑΓΚΙΟΖΑΚ,καραγκιοζάκος
ΚΑΡΑΓΙΑΠ,καραγιαπί
ΚΑΡΑΒΟΣΚΥΛ,καραβόσκυλος
ΚΑΡΑΒΑΝΣΕΡ,καραβανσεράι
ΚΑΡΑΒΑΝΣΑΡ,καραβανσαράι
ΚΑΡΑΒΑΝ,καραβανάς
ΚΑΠΟΥΛ,καπούλι
ΚΑΠΟΤ,καπότες
ΚΑΠΝΙΚΑΡΕ,καπνικαρέα
ΚΑΠΗΛΕΥΟΝΤ,καπηλεύονται
ΚΑΠΗΛΕΙ,καπηλεία
ΚΑΠΕΛΑΔΟΥΡ,καπελαδούρα
ΚΑΟΥΡ,καούρα
ΚΑΝΟΝΙΖ,κανονίζω
ΚΑΝΟΝΙΕΡ,κανονιέρης
ΚΑΝΙΒΑΛ,κανίβαλος
ΚΑΝΑΓΙ,κανάγιας
ΚΑΜΠΑΡΕΤΖ,καμπαρετζής
ΚΑΜΗΛ,καμήλα
ΚΑΜΑΡΙΛ,καμαρίλα
ΚΑΜΑΚΩΝ,καμακώνω
ΚΑΜΑΚ,καμάκι
ΚΑΛΥΒ,καλύβι
ΚΑΛΥΒΑΚ,καλυβάκι
ΚΑΛΟΠΕΡΝ,καλοπερνώ
ΚΑΛΟΠΕΡΑΣΑΚΙ,καλοπερασάκιας
ΚΑΛΟΜΑΘΑΙΝ,καλομαθαίνω
ΚΑΛΟΓΕΡ,καλόγερος
ΚΑΛΟΓΕΡΕΥ,καλογερεύω
ΚΑΛΑΜΠΑΛΙΚ,καλαμπαλίκι
ΚΑΛΑΜΟΠΟΔΑΡ,καλαμοπόδαρος
ΚΑΛΑΜΟΚΑΝ,καλαμοκάνης
ΚΑΚΟΥΧΙ,κακουχία
ΚΑΚΟΣΜΙ,κακοσμία
ΚΑΚ,κακός
ΚΑΚΟΡΙΖΙΚ,κακορίζικος
ΚΑΚΟΚΑΡΔ,κακόκαρδος
ΚΑΚΟΗΧ,κακόηχος
ΚΑΚΟΔΙΑΧΕΙΡΗΣ,κακοδιαχείρηση
ΚΑΙΡΟΣΚΟΠΙΣΜ,καιροσκοπισμό
ΚΑΘΩΣΠΡΕΠ,καθωσπρέπει
ΚΑΘΟΔΗΓΗΤ,καθοδηγητής
ΚΑΘΗΚΟΝΤΟΛΟΓΙ,καθηκοντολογία
ΚΑΘΗΓΗΤΙΛΙΚ,καθηγητιλίκι
ΚΑΘΑΡΜΑΤ,καθάρματα
ΚΑΘΑΡΜ,κάθαρμα
ΚΑΓΚΟΥΡ,κάγκουρας
ΚΑΒΑΛ,καβάλα
ΙΣΟΒΙ,ισόβιος
ΙΠΠΟΠΟΤΑΜ,ιπποπόταμος
ΙΝΤΕΛΙΓΚΕΝΤΣΙ,ιντελιγκέντσια
ΙΝΣΤΡΟΥΧΤΟΡ,ινστρούχτορας
ΙΜΙΤΑΣΙ,ιμιτασιόν
ΙΛΙΓΓ,ίλιγγος
ΙΕΡΟΓΛΥΦΙΚ,ιερογλυφικός
ΙΕΡΑΤΕΙ,ιερατείο
ΙΔ,ιδού
ΙΔΙΟΤΕΛΕΙ,ιδιοτέλεια
ΙΔΕΟΛΗΨΙ,ιδεοληψία
ΘΥΜΩΜΕΝ,θυμωμένος
ΘΥΜΙΚ,θυμικό
ΘΡΙΛΕΡ,θρίλερ
ΘΡΗΣΚΕΥΤΙΚ,θρησκευτικός
ΘΡΑΣΥΔΕΙΛ,θρασύδειλος
ΘΡΑΣΣ,θράσσος
ΘΡΑΣ,θράσος
ΘΡΑΣΙΜ,θρασίμι
ΘΟΡΥΒ,θόρυβος
ΘΟΛ,θολός
ΘΛΙΨ,θλίψη
ΘΛΙΜΜΕΝ,θλιμμένος
ΘΛΙΒΕΡ,θλιβερός
ΘΗΡΙ,θηρίο
ΘΗΛΥΚ,θηλυκός
ΘΕΩΡΗΤΙΚΟΛΟΓΙ,θεωρητικολογία
ΘΕΡΜΟΚΕΦΑΛ,θερμοκέφαλος
ΘΕΡΜΟΑΙΜ,θερμόαιμος
ΘΕΡΑΠΟΝΤ,θεράποντας
ΘΕΟΥΣ,θεούσα
ΘΕΙΤΣ,θείτσα
ΘΕΙ,θεια
ΗΛΙΘΙ,ηλίθια
ΗΔΟΝΙΚ,ηδονικός
ΗΔΟΝΙΖΟΜ,ηδονίζομαι
ζώο,ζώο
ΖΩΝ,ζώνω
ζώα,ζώα
ΖΟΥΡΛ,ζούρλα
ΖΟΥΜΠ,ζουμπάς
ΖΟΥΜ,ζουμί
ΖΟΥΔ,ζούδι
ΖΗΛ,ζηλώ
ΖΗΛΙ,ζήλια
ΖΗΛΕΥ,ζηλεύω
ΖΕΡΒΟΚΟΥΤΑΛ,ζερβοκουτάλα
ΖΕΜΑΤ,ζεματώ
ΖΑΛ,ζάλη
ΖΑΛΑΔ,ζαλάδα
ΕΧΘΡΟΤΗΤ,εχθρότητα
ΕΧΘΡΕΥΟΜ,εχθρεύομαι
ΕΦΙΑΛΤ,εφιάλτης
ΕΦΕΤΖΙΔΙΚ,εφετζίδικος
ΕΥΤΡΑΠΕΛ,ευτράπελος
ΕΥΝΟΥΧ,ευνούχος
ΕΥΝΟΥΧΙΣΜ,ευνουχισμός
ΕΥΚΟΛ,εύκολος
ΕΥΚΟΛΙ,ευκολία
